timestamp	ppg	hrm	accx	accy	accz	grax	gray	graz	gyrx	gyry	grz	pressure	stress
1549066937018	2738926.00	0.00	-6.31	7.08	2.51	-6.31	7.08	2.51	-1.19	-0.35	-1.26	1006.19	12.00
1549066937029	2755956.00	0.00	-6.28	7.06	2.46	-6.31	7.07	2.51	-1.19	-0.35	-1.26	1006.19	15.00
1549066937082	2770916.00	0.00	-6.33	7.11	2.45	-6.32	7.07	2.50	0.07	-0.98	-2.03	1006.19	13.00
1549066937133	2770165.00	0.00	-6.37	7.07	2.44	-6.33	7.06	2.50	-1.05	-0.77	-1.75	1006.18	35.00
1549066937182	2756019.00	0.00	-6.31	7.08	2.50	-6.33	7.05	2.51	-1.54	-0.70	-1.40	1006.18	32.00
1549066937233	2741841.00	0.00	-6.34	7.07	2.47	-6.34	7.05	2.51	-0.91	-0.49	-1.40	1006.18	0.00
1549066937285	2736466.00	0.00	-6.31	7.06	2.46	-6.35	7.04	2.51	-1.26	-0.49	-1.54	1006.18	36.00
1549066937335	2741108.00	0.00	-6.34	7.07	2.46	-6.35	7.04	2.51	-0.91	-0.70	-1.61	1006.18	21.00
1549066937388	2751440.00	0.00	-6.29	7.07	2.44	-6.35	7.04	2.51	-0.77	-0.56	-1.47	1006.18	1.00
1549066937437	2762251.00	0.00	-6.30	7.06	2.53	-6.35	7.03	2.51	-1.26	-0.56	-1.47	1006.18	15.00
1549066937489	2771161.00	0.00	-6.31	7.09	2.46	-6.36	7.03	2.51	-1.05	-0.49	-1.47	1006.17	10.00
1549066937539	2780019.00	0.00	-6.33	7.05	2.49	-6.36	7.03	2.52	-1.12	-0.56	-1.54	1006.17	16.00
1549066937591	2802757.00	0.00	-6.31	7.04	2.42	-6.36	7.03	2.51	-1.12	-0.49	-1.54	1006.17	27.00
1549066937642	2815974.00	0.00	-6.31	7.08	2.48	-6.36	7.03	2.51	-0.98	-0.49	-1.47	1006.17	36.00
1549066937696	2829592.00	0.00	-6.34	7.08	2.50	-6.37	7.02	2.52	-1.19	-0.49	-1.40	1006.17	16.00
1549066937744	2842624.00	0.00	-6.31	7.09	2.45	-6.37	7.02	2.51	-1.26	-0.28	-1.19	1006.17	21.00
1549066937795	2852267.00	0.00	-6.29	7.06	2.50	-6.37	7.02	2.51	-0.21	-0.56	-1.75	1006.17	-5.00
1549066937845	2846444.00	0.00	-6.35	7.09	2.43	-6.37	7.02	2.51	-0.63	-0.42	-1.54	1006.17	28.00
1549066937897	2832036.00	0.00	-6.31	7.06	2.49	-6.37	7.02	2.51	-1.47	-0.49	-1.33	1006.17	14.00
1549066937947	2820450.00	0.00	-6.30	7.04	2.51	-6.37	7.02	2.52	-1.26	-0.42	-1.33	1006.17	26.00
1549066938001	2816445.00	0.00	-6.29	7.03	2.45	-6.37	7.02	2.52	-1.40	-0.28	-1.26	1006.17	10.00
1549066938053	2819460.00	0.00	-6.28	7.10	2.45	-6.37	7.02	2.51	-1.40	-0.42	-1.54	1006.16	14.00
1549066938101	2827083.00	0.00	-6.33	7.08	2.47	-6.37	7.02	2.51	-0.98	-0.42	-1.40	1006.16	21.00
1549066938152	2834484.00	0.00	-6.33	7.04	2.50	-6.37	7.01	2.52	-1.40	-0.42	-1.26	1006.16	19.00
1549066938205	2840599.00	0.00	-6.31	7.03	2.46	-6.38	7.01	2.52	-1.19	-0.42	-1.33	1006.16	27.00
1549066938254	2847777.00	0.00	-6.36	7.10	2.47	-6.38	7.01	2.52	-1.19	-0.28	-1.40	1006.16	37.00
1549066938306	2856361.00	0.00	-6.32	7.05	2.52	-6.38	7.01	2.52	-1.47	-0.28	-1.12	1006.16	9.00
1549066938356	2865676.00	0.00	-6.31	7.07	2.45	-6.38	7.01	2.52	-1.12	0.42	-0.77	1006.16	-7.00
1549066938408	2874690.00	0.00	-6.30	7.08	2.45	-6.38	7.01	2.51	-1.47	0.28	-0.91	1006.16	68.00
1549066938459	2883153.00	0.00	-6.31	7.04	2.45	-6.38	7.01	2.51	-1.96	0.21	-0.84	1006.16	47.00
1549066938510	2890611.00	0.00	-6.29	7.04	2.49	-6.38	7.01	2.51	-1.12	0.14	-1.19	1006.17	43.00
